,实体,属性,值
0,大龙湫,著名景点,芙蓉峰
1,大龙湫,著名景点,剪刀峰
2,大龙湫,所属国家,中国
3,大龙湫,标签,旅游
4,大龙湫,标签,地理
5,大龙湫,标签,地形地貌
6,五大夫松,所属国家,中国
7,五大夫松,标签,旅游
8,五大夫松,标签,地理
9,五大夫松,标签,地点
10,五大夫松,标签,历史
11,灵峰,行政区类别,景区
12,灵峰,所属地区,雁荡山
13,灵峰,政府驻地,乐清市
14,灵峰,电话区号,0577
15,灵峰,建议游玩时长,半天
16,灵峰,标签,旅游
17,灵峰,标签,地理
18,灵峰,标签,地点
19,灵峰,标签,地形地貌
20,伊瓜苏市,语言,葡萄牙语
21,伊瓜苏市,标签,旅游
22,伊瓜苏市,标签,城市
23,伊瓜苏市,标签,地点
24,拉萨,别名,逻些
25,拉萨,别名,日光城
26,拉萨,行政区类别,地级市
27,拉萨,气候条件,高原山地气候
28,拉萨,市花,格桑花
29,拉萨,标签,城市
30,赵王城,开放时间,全天
31,赵王城,门票价格,10元
32,赵王城,著名景点,龙台
33,赵王城,所属国家,中国
34,赵王城,适宜游玩季节,全年
35,赵王城,标签,旅游
36,灵隐寺[浙江杭州灵隐寺],气候类型,亚热带季风气候
37,灵隐寺[浙江杭州灵隐寺],著名景点,三生石
38,灵隐寺[浙江杭州灵隐寺],文物级别,第七批全国重点文物保护单位
39,灵隐寺[浙江杭州灵隐寺],现任住持,光泉法师
40,灵隐寺[浙江杭州灵隐寺],标签,旅游
41,灵隐寺[浙江杭州灵隐寺],标签,建筑
42,西湖[浙江省杭州市西湖],中文名称,杭州西湖
43,西湖[浙江省杭州市西湖],气候类型,亚热带季风气候
44,西湖[浙江省杭州市西湖],门票价格,免费
45,西湖[浙江省杭州市西湖],湖中一山,孤山
46,西湖[浙江省杭州市西湖],标签,旅游
47,西湖[浙江省杭州市西湖],标签,城市
48,西湖[浙江省杭州市西湖],标签,地形地貌
49,西湖[浙江省杭州市西湖],标签,公园
50,黔灵公园,地理位置,贵阳市
51,黔灵公园,标签,旅游
52,灵山大佛,电话区号,0510
53,灵山大佛,气候条件,亚热带季风气候
54,灵山大佛,景区等级,国家AAAAA级旅游景区
55,灵山大佛,所属城市,无锡市
56,灵山大佛,所属国家,中国
57,灵山大佛,标签,旅游
58,灵山大佛,标签,文化
59,灵山大佛,标签,地理
60,灵山大佛,标签,地点
61,荔波大小七孔,电话区号,0854
62,荔波大小七孔,地貌,中国喀斯特
63,荔波大小七孔,标签,旅游
64,荔波大小七孔,标签,地理
65,荔波大小七孔,标签,地点
66,太湖[江苏湖泊],别名,震泽
67,太湖[江苏湖泊],别名,五湖
68,太湖[江苏湖泊],气候条件,亚热带季风气候
69,太湖[江苏湖泊],所属水系,长江水系
70,太湖[江苏湖泊],所属国家,中国
71,太湖[江苏湖泊],标签,水利部发展研究中心
72,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],气候类型,亚热带季风气候
73,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],开放时间,全天
74,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],门票价格,免费
75,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],所属国家,中国
76,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],车牌代码,湘U
77,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],电话区号,0743
78,天河潭,所属城市,贵州省贵阳市
79,天河潭,地貌,喀斯特地貌
80,天河潭,历史名人,吴中蕃
81,天河潭,建议游玩时长,24小时
82,天河潭,标签,旅游
83,花溪公园,景点级别,AAA级
84,花溪公园,美誉,高原明珠
85,花溪公园,所属国家,中国
86,花溪公园,所属城市,贵州省贵阳市
87,花溪公园,标签,旅游
88,三潭印月[西湖十景之一],气候类型,亚热带季风性气候
89,三潭印月[西湖十景之一],别称,小瀛洲
90,三潭印月[西湖十景之一],所属国家,中国
91,三潭印月[西湖十景之一],标签,旅游
92,三潭印月[西湖十景之一],标签,地理
93,三潭印月[西湖十景之一],标签,地点
94,遵义会议会址,级别批次,第一批全国重点文物保护单位
95,遵义会议会址,批准单位,国务院
96,遵义会议会址,时代,1935年
97,遵义会议会址,标签,地理
98,遵义会议会址,标签,地点
99,黄果树风景名胜区,著名景点,黄果树瀑布
100,黄果树风景名胜区,所属国家,中国
101,黄果树风景名胜区,所属城市,贵州省安顺市
102,黄果树风景名胜区,标签,旅游
103,香港青马大桥,所属国家,中国
104,香港青马大桥,所属干线,香港8号干线
105,香港青马大桥,区号,00852
106,香港青马大桥,标签,旅游
107,香港青马大桥,标签,建筑
108,香港青马大桥,标签,地理
109,香港青马大桥,标签,地点
110,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],气候类型,温带季风气候
111,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],景点级别,国家AAAAA级旅游景区
112,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],始凿年份,公元493年
113,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],别称,伊阙
114,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],保护级别,全国重点文物保护单位
115,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],所属国家,中国
116,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],所属城市,河南省洛阳市
117,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],标签,旅游
118,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],气候类型,温带季风气候
119,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],景点级别,国家AAAAA级旅游景区
120,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,常住院
121,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,初祖庵
122,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,塔林
123,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,大雄宝殿
124,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,藏经阁
125,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],开山年份,495年
126,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],宗门,禅宗
127,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],地位,禅宗祖庭
128,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],始建朝代,北魏
129,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],保护级别,全国重点文物保护单位
130,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],现任住持,释永信
131,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],标签,旅游
132,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],标签,佛教
133,户部巷,气候类型,亚热带季风气候
134,户部巷,门票价格,免费
135,户部巷,标签,旅游
136,武汉东湖风景区,电话区号,027
137,武汉东湖风景区,气候条件,亚热带季风气候
138,武汉东湖风景区,机场,武汉天河国际机场
139,武汉东湖风景区,车牌代码,鄂A
140,武汉东湖风景区,所属国家,中国
141,武汉东湖风景区,门票价格,免费
142,武汉东湖风景区,建议游玩时长,一天
143,吉庆街[湖北省武汉市江岸区吉庆街],门票价格,免费
144,吉庆街[湖北省武汉市江岸区吉庆街],所属国家,中国
145,吉庆街[湖北省武汉市江岸区吉庆街],标签,地理
146,吉庆街[湖北省武汉市江岸区吉庆街],标签,地点
147,居庸关,级别,国家级文物保护单位
148,居庸关,标签,遗址
149,居庸关,标签,旅游
150,居庸关,标签,建筑
151,居庸关,标签,地理
152,居庸关,标签,地点
153,石空寺石窟,别名,大佛寺
154,石空寺石窟,行政区类别,宁夏
155,石空寺石窟,所属地区,西北地区
156,石空寺石窟,标签,旅游
157,石空寺石窟,标签,宗教
158,承天寺塔,始建于,1050年
159,承天寺塔,标签,旅游
160,承天寺塔,标签,文化
161,承天寺塔,标签,建筑
162,承天寺塔,标签,地点
163,太白山,所属山系,秦岭山脉
164,太白山,标签,旅游
165,太白山,标签,地理
166,雅鲁藏布江[藏南大河],地理位置,南亚
167,雅鲁藏布江[藏南大河],标签,旅游
168,雅鲁藏布江[藏南大河],标签,地理
169,雅鲁藏布江[藏南大河],标签,地点
170,雅鲁藏布江[藏南大河],标签,地形地貌
171,峨眉山[中国佛教名山，世界文化与自然双遗产],气候类型,亚热带湿润季风气候
172,峨眉山[中国佛教名山，世界文化与自然双遗产],景点级别,国家AAAAA级旅游景区
173,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,旅游
174,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,山脉
175,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,地理
176,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,地点
177,茶马古道[古代中国西南地区商贸通道],开放时间,全天
178,茶马古道[古代中国西南地区商贸通道],保护批次,第七批全国重点文物保护单位
179,茶马古道[古代中国西南地区商贸通道],批准单位,国务院
180,茶马古道[古代中国西南地区商贸通道],标签,地理
181,茶马古道[古代中国西南地区商贸通道],标签,地点
182,茶马古道[古代中国西南地区商贸通道],标签,古代史
183,茶马古道[古代中国西南地区商贸通道],标签,历史
184,白云山[广东省广州市白云山],气候类型,亚热带季风气候
185,白云山[广东省广州市白云山],景点级别,国家AAAAA级旅游景区
186,白云山[广东省广州市白云山],所属国家,中国
187,白云山[广东省广州市白云山],标签,旅游
188,白云山[广东省广州市白云山],标签,山脉
189,白云山[广东省广州市白云山],标签,地点
190,华山[五岳之西岳华山],所属国家,中国
191,华山[五岳之西岳华山],标签,地形地貌
192,华山[五岳之西岳华山],标签,中国文学
193,梵净山[贵州省铜仁市梵净山],电话区号,0856
194,梵净山[贵州省铜仁市梵净山],方言,西南方言
195,梵净山[贵州省铜仁市梵净山],气候条件,亚热带季风气候
196,梵净山[贵州省铜仁市梵净山],机场,铜仁凤凰机场
197,梵净山[贵州省铜仁市梵净山],标签,旅游
198,梵净山[贵州省铜仁市梵净山],标签,地理
199,梵净山[贵州省铜仁市梵净山],标签,地点
200,梵净山[贵州省铜仁市梵净山],标签,地形地貌
201,普吉岛[泰国岛屿],标签,村庄
202,普吉岛[泰国岛屿],标签,旅游
203,普吉岛[泰国岛屿],标签,地点
204,普吉岛[泰国岛屿],标签,地形地貌
205,普吉岛[泰国岛屿],标签,书籍
206,九寨沟国家级自然保护区,所属国家,中国
207,九寨沟国家级自然保护区,标签,旅游
208,都江堰[世界文化遗产、国家5A级旅游景区],气候类型,亚热带季风性湿润气候
209,都江堰[世界文化遗产、国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
210,都江堰[世界文化遗产、国家5A级旅游景区],标签,地点
211,穹窿山,所属国家,中国
212,穹窿山,适宜游玩季节,春秋
213,穹窿山,标签,旅游
214,穹窿山,标签,山脉
215,穹窿山,标签,地形地貌
216,黄山[世界文化与自然双重遗产，国家5A级旅游景区],气候类型,亚热带季风气候
217,黄山[世界文化与自然双重遗产，国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
218,黄山[世界文化与自然双重遗产，国家5A级旅游景区],所属国家,中国
219,黄山[世界文化与自然双重遗产，国家5A级旅游景区],标签,山脉
220,黄山[世界文化与自然双重遗产，国家5A级旅游景区],标签,地形地貌
221,七星岩[广东肇庆七星岩],气候类型,亚热带季风气候
222,七星岩[广东肇庆七星岩],建议游玩时长,半天
223,七星岩[广东肇庆七星岩],适宜游玩季节,全年
224,七星岩[广东肇庆七星岩],标签,自然
225,七星岩[广东肇庆七星岩],标签,旅游
226,七星岩[广东肇庆七星岩],标签,地点
227,七星岩[广东肇庆七星岩],标签,地形地貌
228,千岛湖[新安江水库],建成时间,1960年
229,千岛湖[新安江水库],标签,旅游
230,千岛湖[新安江水库],标签,地点
231,千岛湖[新安江水库],标签,地形地貌
232,羊卓雍措,开放时间,全天
233,羊卓雍措,所属国家,中国
234,羊卓雍措,标签,旅游
235,羊卓雍措,标签,地理
236,羊卓雍措,标签,地点
237,羊卓雍措,标签,地形地貌
238,玛旁雍错,中文名称,玛旁雍措
239,玛旁雍错,开放时间,全天
240,玛旁雍错,标签,旅游
241,崂山[AAAAA级旅游景区],气候类型,暖温带大陆性季风气候
242,崂山[AAAAA级旅游景区],著名景点,棋盘石
243,崂山[AAAAA级旅游景区],所属国家,中国
244,崂山[AAAAA级旅游景区],标签,地理
245,苍山洱海,门票价格,免费
246,苍山洱海,所属国家,中国
247,苍山洱海,标签,旅游
248,苍山洱海,标签,地理
249,苍山洱海,标签,地点
250,博斯腾湖[中国最大的内陆淡水吞吐湖],排泄河流,孔雀河
251,博斯腾湖[中国最大的内陆淡水吞吐湖],平均水深,9米
252,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,旅游
253,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,地理
254,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,地点
255,贝加尔湖[地理湖泊],标签,自然
256,贝加尔湖[地理湖泊],标签,旅游
257,贝加尔湖[地理湖泊],标签,地点
258,圆明园[清代著名皇家园林],气候类型,温带季风性气候
259,圆明园[清代著名皇家园林],景点级别,国家级景区
260,圆明园[清代著名皇家园林],著名景点,大水法
261,圆明园[清代著名皇家园林],著名景点,西洋楼遗址
262,圆明园[清代著名皇家园林],著名景点,方壶胜境
263,圆明园[清代著名皇家园林],地点,北京
264,圆明园[清代著名皇家园林],标签,遗址
265,圆明园[清代著名皇家园林],标签,旅游
266,圆明园[清代著名皇家园林],标签,建筑
267,圆明园[清代著名皇家园林],标签,北京
268,大明山[浙西大明山],别名,千亩田
269,大明山[浙西大明山],行政区类别,12
270,大明山[浙西大明山],所属国家,中国
271,大明山[浙西大明山],标签,旅游
272,大明山[浙西大明山],标签,地形地貌
273,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],气候类型,地中海气候
274,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],开放时间,全天
275,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],湖泊类型,内流湖
276,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],流入,约旦河
