Id,Label,timeset,modularity_class
"女装",女装,,0
"灵峰",灵峰,,0
"雁荡山",雁荡山,,0
"滴度",滴度,,56
"效价",效价,,56
"医学",医学,,56
"超线程",超线程,,1
"英特尔",英特尔,,1
A股,A股,,125
"教育",教育,,125
"免费域名",免费域名,,2
"域名",域名,,2
"结构化查询语言",结构化查询语言,,3
"数据库",数据库,,3
"果酸",果酸,,125
"化妆品",化妆品,,125
"禅学",禅学,,107
"佛教",佛教,,107
"达赖",达赖,,45
"蒙古族",蒙古族,,45
"华硕[世界著名电脑品牌]",华硕[世界著名电脑品牌],,128
"电脑",电脑,,128
"般若[宗教术语]",般若[宗教术语],,107
"即心即佛",即心即佛,,125
Google,Google,,134
"上市公司",上市公司,,134
tips,tips,,56
"学分制",学分制,,125
ova[原创动画录影带],ova[原创动画录影带],,148
"动画",动画,,148
"变应原",变应原,,56
qs[企业食品生产许可],qs[企业食品生产许可],,143
"政治",政治,,143
"开光[汉语词语]",开光[汉语词语],,97
"道教",道教,,97
"南无阿弥陀佛[佛教术语]",南无阿弥陀佛[佛教术语],,107
"涅槃[佛教用语]",涅槃[佛教用语],,107
"坐月子",坐月子,,56
"立克次氏体",立克次氏体,,56
"激素",激素,,56
"内分泌失调",内分泌失调,,56
"脑室",脑室,,56
rush战术,rush战术,,4
"战术",战术,,4
nan,nan,,145
...,...,,145
"纵横家[中国权谋术派系]",纵横家[中国权谋术派系],,125
"自然哲学[哲学学科]",自然哲学[哲学学科],,107
"哲学",哲学,,107
"舍利子[佛陀涅盘火化结晶体]",舍利子[佛陀涅盘火化结晶体],,107
"通灵师[红袖添香网连载的小说]",通灵师[红袖添香网连载的小说],,5
"网络小说",网络小说,,5
"玄幻小说",玄幻小说,,5
"资本主义[私有制经济制度]",资本主义[私有制经济制度],,143
"泡沫文学",泡沫文学,,6
"网络",网络,,6
"衣原体",衣原体,,7
"沙眼",沙眼,,7
"血象",血象,,56
"通用汽车公司",通用汽车公司,,134
"欧洲足联欧洲联赛",欧洲足联欧洲联赛,,104
"社会团体",社会团体,,104
jpg,jpg,,8
JPEG,JPEG,,8
"实况足球[Konami开发的游戏系列]",实况足球[Konami开发的游戏系列],,123
"角色扮演游戏",角色扮演游戏,,123
"百度[百度公司]",百度[百度公司],,103
"李彦宏",李彦宏,,103
"苏格拉底法则",苏格拉底法则,,107
"土体构型",土体构型,,19
"化学",化学,,19
"铵[化学名词]",铵[化学名词],,19
"寒食节",寒食节,,9
